date,district,confirmed,deaths,from_abroad,known_domestic_source
2020-03-17,Kymenlaakso,1,0,0,0
2020-03-17,Lappi,3,0,0,0
2020-03-17,Länsi-Pohja,0,0,0,0
2020-03-17,Pirkanmaa,30,0,0,0
2020-03-17,Pohjois-Karjala,3,0,0,0
2020-03-17,Pohjois-Pohjanmaa,35,0,0,0
2020-03-17,Pohjois-Savo,5,0,0,0
2020-03-17,Päijät-Häme,3,0,0,0
2020-03-17,Satakunta,11,0,0,0
2020-03-17,Vaasa,10,0,0,0
2020-03-17,Varsinais-Suomi,20,0,0,0
2020-03-18,Ahvenanmaa,0,0,0,0
2020-03-18,Etelä-Karjala,3,0,0,0
2020-03-18,Etelä-Pohjanmaa,5,0,0,0
2020-03-18,Etelä-Savo,8,0,0,0
2020-03-18,HUS,358,0,0,0
2020-03-18,Itä-Savo,1,0,0,0
2020-03-18,Kainuu,3,0,0,0
2020-03-18,Kanta-Häme,14,0,0,0
2020-03-18,Keski-Pohjanmaa,3,0,0,0
2020-03-18,Keski-Suomi,18,0,0,0
2020-03-18,Kymenlaakso,3,0,0,0
2020-03-18,Lappi,3,0,0,0
2020-03-18,Länsi-Pohja,0,0,0,0
2020-03-18,Pirkanmaa,35,0,0,0
2020-03-18,Pohjois-Karjala,4,0,0,0
2020-03-18,Pohjois-Pohjanmaa,36,0,0,0
2020-03-18,Pohjois-Savo,8,0,0,0
2020-03-18,Päijät-Häme,3,0,0,0
2020-03-18,Satakunta,11,0,0,0
2020-03-18,Vaasa,13,0,0,0
2020-03-18,Varsinais-Suomi,23,0,0,0
2020-03-19,Ahvenanmaa,0,0,0,0
2020-03-19,Etelä-Karjala,4,0,0,0
2020-03-19,Etelä-Pohjanmaa,5,0,0,0
2020-03-19,Etelä-Savo,8,0,0,0
2020-03-19,HUS,433,0,0,0
2020-03-19,Itä-Savo,1,0,0,0
2020-03-19,Kainuu,4,0,0,0
2020-03-19,Kanta-Häme,17,0,0,0
2020-03-19,Keski-Pohjanmaa,3,0,0,0
2020-03-19,Keski-Suomi,20,0,0,0
